rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0291.jpg,116.4,0.8254,0.8148,0.8333,0.84,8,5,False,True
2,frame_0074.jpg,29.6,0.7906,0.7811,0.6667,1.0,8,4,False,True
3,frame_0000.jpg,0.0,0.777,0.654,0.8333,1.0,8,5,False,True
4,frame_0004.jpg,1.6,0.7676,0.8353,0.5,1.0,4,3,False,False
5,frame_0387.jpg,154.8,0.7488,0.8175,1.0,0.2,9,6,False,True
6,frame_0005.jpg,2.0,0.7403,0.6805,0.6667,1.0,5,4,False,True
7,frame_0067.jpg,26.8,0.7356,0.6712,0.6667,1.0,6,4,False,True
8,frame_0030.jpg,12.0,0.7165,0.7329,0.5,1.0,8,3,False,True
9,frame_0002.jpg,0.8,0.7151,0.7303,0.5,1.0,8,3,False,False
10,frame_0008.jpg,3.2,0.7143,0.8287,0.3333,1.0,3,2,False,False
11,frame_0077.jpg,30.8,0.6977,0.6433,0.6667,0.88,8,4,False,False
12,frame_0011.jpg,4.4,0.6935,0.8869,0.1667,1.0,2,1,False,True
13,frame_0127.jpg,50.8,0.6855,0.7511,0.5,0.8,6,3,False,True
14,frame_0020.jpg,8.0,0.6816,0.7632,0.3333,1.0,4,2,False,True
15,frame_0316.jpg,126.4,0.669,0.674,1.0,0.16,9,6,False,True
16,frame_0167.jpg,66.8,0.6668,0.6935,0.6667,0.6,7,4,False,True
17,frame_0124.jpg,49.6,0.6652,0.5585,0.8333,0.68,10,5,False,False
18,frame_0016.jpg,6.4,0.6647,0.5294,0.6667,1.0,7,4,False,False
19,frame_0076.jpg,30.4,0.6626,0.6571,0.5,0.92,8,3,False,False
20,frame_0367.jpg,146.8,0.6611,0.6902,1.0,0.08,12,6,False,False
21,frame_0375.jpg,150.0,0.6558,0.6315,1.0,0.2,8,6,False,False
22,frame_0284.jpg,113.6,0.6553,0.6865,0.6667,0.56,7,4,False,False
23,frame_0384.jpg,153.6,0.6482,0.8324,0.6667,0.16,6,4,False,False
24,frame_0201.jpg,80.4,0.6325,0.6409,0.6667,0.56,5,4,False,False
25,frame_0130.jpg,52.0,0.6322,0.6965,0.3333,0.92,4,2,False,False
26,frame_0379.jpg,151.6,0.6289,0.8417,0.6667,0.04,10,4,False,False
27,frame_0169.jpg,67.6,0.6265,0.745,0.5,0.52,8,3,False,False
28,frame_0132.jpg,52.8,0.6254,0.5508,0.5,1.0,4,3,False,False
29,frame_0292.jpg,116.8,0.6221,0.7242,0.3333,0.8,6,2,False,False
30,frame_0129.jpg,51.6,0.6176,0.6833,0.3333,0.88,5,2,False,False
31,frame_0186.jpg,74.4,0.6172,0.8184,0.6667,0.04,9,4,False,False
32,frame_0116.jpg,46.4,0.6165,0.6889,0.6667,0.36,8,4,False,False
33,frame_0333.jpg,133.2,0.6134,0.7947,0.6667,0.08,7,4,False,False
34,frame_0003.jpg,1.2,0.6099,0.5199,0.5,1.0,6,3,False,False
35,frame_0307.jpg,122.8,0.6081,0.6362,0.8333,0.2,11,5,False,False
36,frame_0294.jpg,117.6,0.6079,0.6278,0.5,0.72,7,3,False,False
37,frame_0296.jpg,118.4,0.6072,0.6585,0.5,0.64,6,3,False,False
38,frame_0177.jpg,70.8,0.6038,0.7276,0.6667,0.2,9,4,False,False
39,frame_0287.jpg,114.8,0.6013,0.8306,0.1667,0.68,6,1,False,False
40,frame_0197.jpg,78.8,0.6005,0.941,0.1667,0.4,1,1,False,False
41,frame_0302.jpg,120.8,0.6001,0.6402,0.6667,0.4,7,4,False,False
42,frame_0305.jpg,122.0,0.5947,0.6774,0.6667,0.28,6,4,False,False
43,frame_0001.jpg,0.4,0.5943,0.5887,0.3333,1.0,8,2,False,False
44,frame_0176.jpg,70.4,0.5943,0.5926,0.8333,0.24,7,5,False,False
45,frame_0015.jpg,6.0,0.5909,0.4817,0.5,1.0,6,3,False,False
46,frame_0018.jpg,7.2,0.589,0.5781,0.3333,1.0,6,2,False,False
47,frame_0293.jpg,117.2,0.5875,0.5709,0.5,0.76,6,3,False,False
48,frame_0028.jpg,11.2,0.587,0.4739,0.5,1.0,5,3,False,False
49,frame_0068.jpg,27.2,0.5866,0.4732,0.5,1.0,6,3,False,False
50,frame_0071.jpg,28.4,0.5843,0.4687,0.5,1.0,7,3,False,False
51,frame_0075.jpg,30.0,0.5834,0.5828,0.3333,0.96,6,2,False,False
52,frame_0029.jpg,11.6,0.5833,0.4665,0.5,1.0,7,3,False,False
53,frame_0080.jpg,32.0,0.5825,0.561,0.5,0.76,7,3,False,False
54,frame_0133.jpg,53.2,0.5821,0.5642,0.3333,1.0,6,2,False,False
55,frame_0184.jpg,73.6,0.5814,0.7307,0.6667,0.08,6,4,False,False
56,frame_0377.jpg,150.8,0.5814,0.7148,0.6667,0.12,10,4,False,False
57,frame_0300.jpg,120.0,0.5799,0.5678,0.6667,0.48,7,4,False,False
58,frame_0290.jpg,116.0,0.5789,0.5378,0.5,0.8,7,3,False,False
59,frame_0017.jpg,6.8,0.578,0.4561,0.5,1.0,8,3,False,False
60,frame_0031.jpg,12.4,0.5758,0.4516,0.5,1.0,8,3,False,False
61,frame_0009.jpg,3.6,0.5698,0.6395,0.1667,1.0,3,1,False,False
62,frame_0288.jpg,115.2,0.5694,0.5508,0.5,0.72,7,3,False,False
63,frame_0318.jpg,127.2,0.569,0.742,0.5,0.24,8,3,False,False
64,frame_0073.jpg,29.2,0.5666,0.5332,0.3333,1.0,8,2,False,False
65,frame_0276.jpg,110.4,0.5662,0.7364,0.5,0.24,9,3,False,False
66,frame_0019.jpg,7.6,0.5636,0.6272,0.1667,1.0,4,1,False,False
67,frame_0115.jpg,46.0,0.5552,0.5824,0.6667,0.32,8,4,False,False
68,frame_0193.jpg,77.2,0.555,0.6139,0.6667,0.24,6,4,False,False
69,frame_0398.jpg,159.2,0.5513,0.6066,0.6667,0.24,7,4,False,False
70,frame_0033.jpg,13.2,0.5507,0.6014,0.1667,1.0,8,1,False,False
71,frame_0317.jpg,126.8,0.5503,0.7206,0.5,0.2,6,3,False,False
72,frame_0070.jpg,28.0,0.5494,0.5987,0.1667,1.0,6,1,False,False
73,frame_0128.jpg,51.2,0.5485,0.5611,0.3333,0.84,8,2,False,False
74,frame_0231.jpg,92.4,0.5461,0.5283,0.8333,0.16,9,5,False,False
75,frame_0199.jpg,79.6,0.5449,0.8978,0.0,0.48,1,0,False,False
76,frame_0188.jpg,75.2,0.5401,0.6642,0.6667,0.04,8,4,False,False
77,frame_0374.jpg,149.6,0.5389,0.5977,0.6667,0.2,7,4,False,False
78,frame_0014.jpg,5.6,0.5369,0.4739,0.3333,1.0,5,2,False,False
79,frame_0079.jpg,31.6,0.5361,0.5523,0.3333,0.8,9,2,False,False
80,frame_0286.jpg,114.4,0.5359,0.6158,0.3333,0.64,8,2,False,False
81,frame_0233.jpg,93.2,0.5341,0.6721,0.5,0.24,7,3,False,False
82,frame_0131.jpg,52.4,0.5324,0.4808,0.3333,0.96,5,2,False,False
83,frame_0327.jpg,130.8,0.5316,0.7472,0.5,0.04,9,3,False,False
84,frame_0389.jpg,155.6,0.5306,0.6132,0.6667,0.12,6,4,False,False
85,frame_0170.jpg,68.0,0.53,0.668,0.3333,0.48,5,2,False,False
86,frame_0095.jpg,38.0,0.5298,0.6956,0.5,0.16,6,3,False,False
87,frame_0281.jpg,112.4,0.5292,0.5823,0.5,0.44,7,3,False,False
88,frame_0386.jpg,154.4,0.5242,0.6525,0.5,0.24,8,3,False,False
89,frame_0211.jpg,84.4,0.5238,0.4916,0.5,0.64,4,3,False,False
90,frame_0010.jpg,4.0,0.5212,0.6424,0.0,1.0,1,0,False,False
91,frame_0303.jpg,121.2,0.5209,0.5979,0.5,0.36,7,3,False,False
92,frame_0230.jpg,92.0,0.5206,0.6931,0.5,0.12,7,3,False,False
93,frame_0376.jpg,150.4,0.5177,0.7715,0.3333,0.16,7,2,False,False
94,frame_0395.jpg,158.0,0.5172,0.6865,0.5,0.12,5,3,False,False
95,frame_0299.jpg,119.6,0.5162,0.5244,0.5,0.52,6,3,False,False
96,frame_0396.jpg,158.4,0.5153,0.5665,0.6667,0.16,7,4,False,False
